2021-06-16 19:35:14,790 | INFO | cocotb | Step 77
2021-06-16 19:35:14,792 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:14,793 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:16,154 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:16,171 | INFO | cocotb | Step 78
2021-06-16 19:35:16,175 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:16,175 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:17,792 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:17,816 | INFO | cocotb | Step 79
2021-06-16 19:35:17,818 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:17,818 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:19,273 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:19,294 | INFO | cocotb | Step 80
2021-06-16 19:35:19,295 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:19,296 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:20,349 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:20,365 | INFO | cocotb | Step 81
2021-06-16 19:35:20,366 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:20,369 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:20,838 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:20,846 | INFO | cocotb | Step 82
2021-06-16 19:35:20,848 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:20,849 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:22,664 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:22,692 | INFO | cocotb | Step 83
2021-06-16 19:35:22,694 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:22,694 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:23,168 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:23,177 | INFO | cocotb | Step 84
2021-06-16 19:35:23,179 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:23,180 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:35:24,080 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:35:24,092 | INFO | cocotb | Step 85
2021-06-16 19:35:24,093 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:35:24,094 | INFO | cocotb | Waiting for actions from rl step 
