2021-08-02 22:45:10,022 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:16,136 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:16,173 | INFO | cocotb | Step 69
2021-08-02 22:45:16,176 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:16,176 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:18,158 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:18,191 | INFO | cocotb | Step 70
2021-08-02 22:45:18,193 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:18,193 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:18,514 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:18,517 | INFO | cocotb | Step 71
2021-08-02 22:45:18,519 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:18,520 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:21,029 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:21,056 | INFO | cocotb | Step 72
2021-08-02 22:45:21,061 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:21,062 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:23,708 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:23,735 | INFO | cocotb | Step 73
2021-08-02 22:45:23,738 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:23,738 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:26,044 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:26,070 | INFO | cocotb | Step 74
2021-08-02 22:45:26,072 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:26,072 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:28,503 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:28,531 | INFO | cocotb | Step 75
2021-08-02 22:45:28,538 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:28,539 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:29,011 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:29,020 | INFO | cocotb | Step 76
2021-08-02 22:45:29,021 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:29,022 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:31,168 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:31,195 | INFO | cocotb | Step 77
2021-08-02 22:45:31,198 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:31,198 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:32,947 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:32,969 | INFO | cocotb | Step 78
2021-08-02 22:45:32,970 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:32,971 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:34,157 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:34,172 | INFO | cocotb | Step 79
2021-08-02 22:45:34,174 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:34,174 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:35,214 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:35,226 | INFO | cocotb | Step 80
2021-08-02 22:45:35,228 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:35,229 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:36,760 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:36,801 | INFO | cocotb | Step 81
2021-08-02 22:45:36,803 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:36,804 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:37,279 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:37,285 | INFO | cocotb | Step 82
2021-08-02 22:45:37,287 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:37,287 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:38,951 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:38,971 | INFO | cocotb | Step 83
2021-08-02 22:45:38,973 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:38,974 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:39,935 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:39,949 | INFO | cocotb | Step 84
2021-08-02 22:45:39,951 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:39,952 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:40,405 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:40,411 | INFO | cocotb | Step 85
2021-08-02 22:45:40,413 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:40,414 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:42,409 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:42,442 | INFO | cocotb | Step 86
2021-08-02 22:45:42,444 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:42,445 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:43,761 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:43,775 | INFO | cocotb | Step 87
2021-08-02 22:45:43,778 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:43,778 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:44,623 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:44,630 | INFO | cocotb | Step 88
2021-08-02 22:45:44,639 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:44,640 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:47,338 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:47,362 | INFO | cocotb | Step 89
2021-08-02 22:45:47,365 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:47,366 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:49,999 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:50,035 | INFO | cocotb | Step 90
2021-08-02 22:45:50,038 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:50,039 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:51,657 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:51,677 | INFO | cocotb | Step 91
2021-08-02 22:45:51,679 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:51,679 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:52,590 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:52,603 | INFO | cocotb | Step 92
2021-08-02 22:45:52,605 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:52,605 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:52,623 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:52,624 | INFO | cocotb | Step 93
2021-08-02 22:45:52,625 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:52,626 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:53,005 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:53,012 | INFO | cocotb | Step 94
2021-08-02 22:45:53,017 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:45:53,020 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:45:55,246 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:45:55,273 | INFO | cocotb | Step 95
