2021-08-02 21:22:28,737 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:28,738 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:29,554 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:29,566 | INFO | cocotb | Step 73
2021-08-02 21:22:29,568 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:29,569 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:30,875 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:30,898 | INFO | cocotb | Step 74
2021-08-02 21:22:30,902 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:30,903 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:33,475 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:33,509 | INFO | cocotb | Step 75
2021-08-02 21:22:33,512 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:33,513 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:34,097 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:34,104 | INFO | cocotb | Step 76
2021-08-02 21:22:34,106 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:34,107 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:37,060 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:37,097 | INFO | cocotb | Step 77
2021-08-02 21:22:37,100 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:37,101 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:40,648 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:40,690 | INFO | cocotb | Step 78
2021-08-02 21:22:40,692 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:40,693 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:40,885 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:40,886 | INFO | cocotb | Step 79
2021-08-02 21:22:40,889 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:40,890 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:43,372 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:43,400 | INFO | cocotb | Step 80
2021-08-02 21:22:43,407 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:43,408 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:46,018 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:46,060 | INFO | cocotb | Step 81
2021-08-02 21:22:46,063 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:46,064 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:48,903 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:48,939 | INFO | cocotb | Step 82
2021-08-02 21:22:48,942 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:48,943 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:51,507 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:51,535 | INFO | cocotb | Step 83
2021-08-02 21:22:51,538 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:51,538 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:54,583 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:54,618 | INFO | cocotb | Step 84
2021-08-02 21:22:54,620 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:54,621 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:55,580 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:55,590 | INFO | cocotb | Step 85
2021-08-02 21:22:55,593 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:55,593 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:22:58,789 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:22:58,867 | INFO | cocotb | Step 86
2021-08-02 21:22:58,872 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:22:58,873 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:23:00,521 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:23:00,540 | INFO | cocotb | Step 87
2021-08-02 21:23:00,543 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:23:00,544 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:23:03,315 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:23:03,352 | INFO | cocotb | Step 88
2021-08-02 21:23:03,357 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:23:03,358 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:23:06,855 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:23:06,916 | INFO | cocotb | Step 89
2021-08-02 21:23:06,919 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:23:06,922 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:23:09,806 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:23:09,843 | INFO | cocotb | Step 90
2021-08-02 21:23:09,846 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:23:09,846 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:23:12,337 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:23:12,369 | INFO | cocotb | Step 91
2021-08-02 21:23:12,372 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:23:12,373 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:23:13,170 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:23:13,178 | INFO | cocotb | Step 92
2021-08-02 21:23:13,181 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:23:13,181 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:23:14,585 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:23:14,601 | INFO | cocotb | Step 93
2021-08-02 21:23:14,606 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:23:14,607 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:23:17,292 | INFO | cocotb | Waiting for rl step or rl reset 
